ORIGEN,DESTINO,MOTIVO,VIAJES
VILLA PURIFICACION,(OTRA ENTIDAD),trabajo,10.0
VILLA PURIFICACION,(OTRO MUNICIPIO),trabajo,28.1
YAHUALICA DE GONZALEZ GALLO,(MISMO MUNICIPIO),trabajo,8281.6
YAHUALICA DE GONZALEZ GALLO,(OTRA ENTIDAD),trabajo,69.0
YAHUALICA DE GONZALEZ GALLO,(OTRO MUNICIPIO),trabajo,157.4
ZACOALCO DE TORRES,(MISMO MUNICIPIO),trabajo,9865.5
ZACOALCO DE TORRES,(OTRA ENTIDAD),trabajo,47.0
ZACOALCO DE TORRES,(OTRO MUNICIPIO),trabajo,1300.5
ZAPOPAN,(MISMO MUNICIPIO),trabajo,568996.5
ZAPOPAN,(OTRA ENTIDAD),trabajo,5460.0
ZAPOPAN,(OTRO MUNICIPIO),trabajo,129789.3
ZAPOTILTIC,(MISMO MUNICIPIO),trabajo,12138.7
ZAPOTILTIC,(OTRA ENTIDAD),trabajo,223.0
ZAPOTILTIC,(OTRO MUNICIPIO),trabajo,1949.8
ZAPOTITLAN DE VADILLO,(MISMO MUNICIPIO),trabajo,2220.3
ZAPOTITLAN DE VADILLO,(OTRA ENTIDAD),trabajo,85.0
ZAPOTITLAN DE VADILLO,(OTRO MUNICIPIO),trabajo,670.6
ZAPOTLAN DEL REY,(MISMO MUNICIPIO),trabajo,5924.9
ZAPOTLAN DEL REY,(OTRA ENTIDAD),trabajo,15.0
ZAPOTLAN DEL REY,(OTRO MUNICIPIO),trabajo,1237.1
ZAPOTLAN EL GRANDE,(MISMO MUNICIPIO),trabajo,49732.4
ZAPOTLAN EL GRANDE,(OTRA ENTIDAD),trabajo,538.0
ZAPOTLAN EL GRANDE,(OTRO MUNICIPIO),trabajo,3878.1
ZAPOTLANEJO,(MISMO MUNICIPIO),trabajo,28261.1
ZAPOTLANEJO,(OTRA ENTIDAD),trabajo,165.0
ZAPOTLANEJO,(OTRO MUNICIPIO),trabajo,980.9
ACATIC,(MISMO MUNICIPIO),estudio,5380.7
ACATIC,(OTRA ENTIDAD),estudio,4.0
ACATIC,(OTRO MUNICIPIO),estudio,361.3
ACATLAN DE JUAREZ,(MISMO MUNICIPIO),estudio,5036.0
ACATLAN DE JUAREZ,(OTRA ENTIDAD),estudio,15.0
ACATLAN DE JUAREZ,(OTRO MUNICIPIO),estudio,1070.0
AHUALULCO DE MERCADO,(MISMO MUNICIPIO),estudio,5764.8
AHUALULCO DE MERCADO,(OTRA ENTIDAD),estudio,23.0
AHUALULCO DE MERCADO,(OTRO MUNICIPIO),estudio,637.2
AMACUECA,(MISMO MUNICIPIO),estudio,1296.6
AMACUECA,(OTRA ENTIDAD),estudio,0.0
AMACUECA,(OTRO MUNICIPIO),estudio,86.4
AMATITAN,(MISMO MUNICIPIO),estudio,4000.0
AMATITAN,(OTRA ENTIDAD),estudio,0.0
AMATITAN,(OTRO MUNICIPIO),estudio,655.0
AMECA,(MISMO MUNICIPIO),estudio,15318.8
AMECA,(OTRA ENTIDAD),estudio,9.0
AMECA,(OTRO MUNICIPIO),estudio,307.2
ARANDAS,(MISMO MUNICIPIO),estudio,19240.5
ARANDAS,(OTRA ENTIDAD),estudio,74.0
ARANDAS,(OTRO MUNICIPIO),estudio,571.5
ATEMAJAC DE BRIZUELA,(MISMO MUNICIPIO),estudio,1836.9
ATEMAJAC DE BRIZUELA,(OTRA ENTIDAD),estudio,3.0
ATEMAJAC DE BRIZUELA,(OTRO MUNICIPIO),estudio,85.1
ATENGO,(MISMO MUNICIPIO),estudio,1381.5
ATENGO,(OTRA ENTIDAD),estudio,0.0
ATENGO,(OTRO MUNICIPIO),estudio,100.5
ATENGUILLO,(MISMO MUNICIPIO),estudio,833.9
ATENGUILLO,(OTRA ENTIDAD),estudio,1.0
